[INFO ] 19-04-2020 11:58:41.937 PM [http-nio-8080-exec-1]  c.t.l.controller.LibraryControllerimpl - Performing get book by id : 2
2020-05-17 12:23:50.711 [traceId=0cec7da203941ebd, spanId=0cec7da203941ebd, spanExportable=true, X-Span-Export=true, X-B3-SpanId=0cec7da203941ebd, X-B3-TraceId=0cec7da203941ebd]  INFO Shreejaa-PC --- [nio-8088-exec-2] service.controller.LibraryControllerimpl : releasing book(bookid:1) from user(userid:1)
2020-05-17 12:38:37.260 [traceId=08a9cd720de80842, spanId=08a9cd720de80842, spanExportable=true, X-Span-Export=true, X-B3-SpanId=08a9cd720de80842, X-B3-TraceId=08a9cd720de80842]  INFO Shreejaa-PC --- [nio-8088-exec-2] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :5)
2020-05-17 13:01:08.558 [traceId=436cf70338a6756f, spanId=436cf70338a6756f, spanExportable=true, X-Span-Export=true, X-B3-SpanId=436cf70338a6756f, X-B3-TraceId=436cf70338a6756f]  INFO Shreejaa-PC --- [nio-8088-exec-5] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :5)
2020-05-17 13:30:56.874 [traceId=c465f63a5730fe8e, spanId=c465f63a5730fe8e, spanExportable=true, X-Span-Export=true, X-B3-SpanId=c465f63a5730fe8e, X-B3-TraceId=c465f63a5730fe8e]  INFO Shreejaa-PC --- [nio-8088-exec-3] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :5)
2020-05-17 13:53:03.297 [traceId=cf6181e544bab37f, spanId=cf6181e544bab37f, spanExportable=true, X-Span-Export=true, X-B3-SpanId=cf6181e544bab37f, X-B3-TraceId=cf6181e544bab37f]  INFO Shreejaa-PC --- [nio-8088-exec-2] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :5)
2020-05-17 13:54:40.535 [traceId=cf6181e544bab37f, spanId=cf6181e544bab37f, spanExportable=true, X-Span-Export=true, X-B3-SpanId=cf6181e544bab37f, X-B3-TraceId=cf6181e544bab37f]  INFO Shreejaa-PC --- [nio-8088-exec-2] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :5)
2020-05-17 14:10:09.279 [traceId=3a9fe779c57a2444, spanId=3a9fe779c57a2444, spanExportable=true, X-Span-Export=true, X-B3-SpanId=3a9fe779c57a2444, X-B3-TraceId=3a9fe779c57a2444]  INFO Shreejaa-PC --- [nio-8088-exec-3] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :5)
2020-05-17 16:09:16.541 [traceId=17e088cddb0a48bd, spanId=17e088cddb0a48bd, spanExportable=true, X-Span-Export=true, X-B3-SpanId=17e088cddb0a48bd, X-B3-TraceId=17e088cddb0a48bd]  INFO Shreejaa-PC --- [nio-8088-exec-1] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :6)
2020-05-17 16:10:05.366 [traceId=7c291f981ab40ae2, spanId=7c291f981ab40ae2, spanExportable=true, X-Span-Export=true, X-B3-SpanId=7c291f981ab40ae2, X-B3-TraceId=7c291f981ab40ae2]  INFO Shreejaa-PC --- [nio-8088-exec-2] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :6)
2020-05-17 16:14:05.584 [traceId=957a573b2d8473bb, spanId=957a573b2d8473bb, spanExportable=true, X-Span-Export=true, X-B3-SpanId=957a573b2d8473bb, X-B3-TraceId=957a573b2d8473bb]  INFO Shreejaa-PC --- [nio-8088-exec-1] service.controller.LibraryControllerimpl : Issuing book( bookid :1) to user(userid :6)
